added_date,added_iso,added_unix,browser_name,browser_version,country_code,datapoint,device_type,document_referrer,duration_seconds,hostname,hostname_original,is_robot,is_unique,lang_language,lang_region,os_name,os_version,path,path_and_query,query,referrer_hostname,referrer_path,screen_height,screen_width,scrolled_percentage,session_id,user_agent,utm_campaign,utm_content,utm_medium,utm_source,utm_term,uuid,viewport_height,viewport_width
2021-01-20,2021-01-20T21:00:00.000Z,1611176400,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,true,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T21:00:00.000Z,1611176400,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T21:00:00.000Z,1611176400,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,true,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,iOS Safari,,NL,pageview,mobile,,3,franksblog.nl,,false,true,,,iOS,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,iOS Safari,,NL,pageview,mobile,,3,franksblog.nl,,false,false,,,iOS,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-20,2021-01-20T22:00:00.000Z,1611180000,Google Chrome,,NL,pageview,desktop,,2,franksblog.nl,,false,false,,,Macintosh,,/,/,,,,,,,,,,,,,,,,
2021-01-21,2021-01-21T03:00:00.000Z,1611198000,Google Chrome,,NL,pageview,desktop,,,franksblog.nl,,false,true,,,Windows,,/,/,,,,,,,,,,,,,,,,
2021-01-21,2021-01-21T06:00:00.000Z,1611208800,iOS Safari,,NL,pageview,mobile,,16,franksblog.nl,,false,false,,,iOS,,/,/,,,,,,,,,,,,,,,,
2021-01-21,2021-01-21T06:00:00.000Z,1611208800,iOS Safari,,NL,pageview,mobile,,16,franksblog.nl,,false,false,,,iOS,,/,/,,,,,,,,,,,,,,,,
